original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
1572998,264,240032,651131,0,0,240032,651131,240032,651131,240032,651131,240032,651131
1573010,265,242801,654814,0,0,242801,654814,242801,654814,242801,654814,242801,654814
1573022,266,242241,654915,0,0,242241,654915,242241,654915,242241,654915,242241,654915
1573034,267,242582,655332,0,0,242582,655332,242582,655332,242582,655332,242582,655332
1573046,268,182554,568444,146,328,182470,567854,182470,568628,182815,568628,182819,568647
1573058,269,184245,569118,19,16,184211,569090,184257,569127,184257,569127,184257,569136
1573069,270,166934,488965,9,3,166920,488964,166933,488964,166954,488970,166954,488977
1573080,271,174408,490784,24,5,174398,490780,174398,490785,174471,490785,174471,490797
1573091,272,217446,659527,0,1,217445,659527,217447,659527,217447,659531,217447,659531
1573103,273,239837,646399,0,0,239837,646399,239837,646399,239837,646399,239837,646399
1573114,274,213285,693142,4,1,213283,693142,213283,693142,213290,693145,213300,693149
1573125,275,152909,659266,1,1,152909,659266,152909,659266,152912,659269,152913,659269
1573136,276,150356,665220,2,1,150350,665220,150358,665220,150358,665222,150358,665225
1573148,277,239428,651607,0,0,239428,651607,239428,651607,239428,651607,239428,651607
1573160,278,239587,651385,0,0,239587,651385,239587,651385,239587,651385,239587,651385
1573172,279,239397,651448,0,0,239397,651448,239397,651448,239397,651448,239397,651448
1573184,280,240413,652718,0,0,240413,652718,240413,652718,240413,652718,240413,652718
1573196,281,240108,652782,0,0,240108,652782,240108,652782,240108,652782,240108,652782
1573208,282,240349,652972,0,0,240349,652972,240349,652972,240349,652972,240349,652972
1573219,283,196089,537512,4,15,196078,537505,196091,537505,196091,537549,196097,537549
1573230,284,198065,538627,6,2,198062,538624,198062,538629,198081,538629,198081,538631
1573241,285,194437,535156,38,20,194413,535145,194413,535145,194508,535183,194508,535212
1573252,286,200089,533094,7,6,200087,533089,200087,533098,200104,533098,200111,533098
1573263,287,206071,616956,0,0,206071,616956,206071,616956,206071,616956,206071,616956
1573274,288,207755,617787,8,7,207751,617784,207751,617784,207778,617805,207778,617805
1573285,289,269460,673606,3,2,269454,673603,269462,673607,269462,673607,269467,673614
1573296,290,274953,671019,8,17,274948,670985,274951,671030,274964,671030,274980,671030
1573307,291,208613,719745,4,5,208612,719745,208612,719745,208623,719745,208623,719764
1573318,292,201976,722049,2,1,201973,722044,201977,722050,201980,722050,201980,722050
1573329,293,206844,725384,0,1,206844,725384,206845,725384,206845,725389,206845,725389
1573340,294,240049,764097,5,6,240044,764095,240049,764095,240052,764115,240066,764115
1573351,295,233463,762723,5,4,233455,762719,233464,762725,233472,762725,233474,762730
1573362,296,234496,768856,2,2,234495,768856,234495,768857,234502,768860,234502,768860
1573373,297,240759,769083,8,5,240748,769081,240765,769081,240765,769095,240765,769095
1573385,298,230793,643751,0,0,230793,643751,230793,643751,230793,643751,230793,643751
1573397,299,230812,645548,0,0,230812,645548,230812,645548,230812,645548,230812,645548
1581099,300,315830,893572,76,15,315786,893560,315802,893568,315954,893574,316051,893619
1581110,301,132170,649327,0,0,132170,649327,132170,649327,132170,649329,132170,649329
1581121,302,136097,645401,1,1,136095,645401,136098,645402,136098,645402,136098,645403
1581132,303,204280,582186,0,0,204280,582186,204280,582186,204280,582186,204280,582186
1581143,304,207007,584037,9,4,206984,584036,207013,584036,207013,584047,207013,584047
1581154,305,131571,644801,6,4,131569,644795,131569,644804,131581,644804,131589,644804
1581165,306,207108,577769,6,3,207093,577768,207112,577771,207112,577771,207112,577771
1581176,307,268264,745282,13,7,268247,745273,268273,745286,268273,745286,268273,745286
1581188,308,241651,653401,0,0,241651,653401,241651,653401,241651,653401,241651,653401
1581200,309,241333,652967,0,0,241333,652967,241333,652967,241333,652967,241333,652967
1581212,310,241873,653020,0,0,241873,653020,241873,653020,241873,653020,241873,653020
1581224,311,238889,650496,0,0,238889,650496,238889,650496,238889,650496,238889,650496
1581247,312,165089,702632,33,23,165068,702596,165068,702648,165144,702648,165144,702648
1581258,313,226369,814483,2,4,226364,814475,226370,814486,226374,814486,226376,814486
1581269,314,160321,706412,2,1,160320,706411,160320,706411,160326,706415,160326,706417
1581280,315,225315,822252,0,11,225316,822229,225316,822259,225316,822259,225316,822259
1581303,316,231545,821627,3,5,231537,821626,231546,821626,231551,821641,231552,821641
1581314,317,247584,862045,7,18,247580,862034,247580,862034,247594,862085,247602,862085
1581325,318,242160,866057,3,6,242153,866053,242160,866053,242167,866068,242171,866075
1581337,319,238402,652274,0,0,238402,652274,238402,652274,238402,652274,238402,652274
1581349,320,238474,652968,0,0,238474,652968,238474,652968,238474,652968,238474,652968
1581360,321,246694,868125,5,4,246684,868118,246697,868127,246697,868128,246697,868128
1581372,322,238152,652350,0,0,238152,652350,238152,652350,238152,652350,238152,652350
1581383,323,248233,681750,1,1,248233,681750,248233,681750,248235,681752,248236,681753
1581395,324,238381,651766,0,0,238381,651766,238381,651766,238381,651766,238381,651766
1581406,325,248211,686473,3,3,248209,686468,248209,686475,248217,686475,248217,686475
1581418,326,238381,651766,0,0,238381,651766,238381,651766,238381,651766,238381,651766
1581442,327,236440,654490,20,15,236433,654451,236433,654496,236494,654496,236494,654496
1581466,328,235933,654687,0,0,235933,654687,235933,654687,235933,654687,235933,654687
1581477,329,299652,881380,11,7,299646,881379,299646,881379,299667,881385,299690,881407
1581489,330,236222,654814,0,0,236222,654814,236222,654814,236222,654814,236222,654814
1581501,331,242419,650953,0,0,242419,650953,242419,650953,242419,650953,242419,650953
1581512,332,254120,834944,3,12,254119,834937,254119,834937,254123,834970,254137,834970
1581524,333,241946,651043,0,0,241946,651043,241946,651043,241946,651043,241946,651043
1581535,334,254964,839033,14,10,254934,839030,254973,839030,254973,839059,254973,839059
1581546,335,257836,839807,7,8,257831,839792,257838,839809,257838,839809,257851,839825
1581569,336,273699,697702,3,1,273697,697701,273701,697702,273701,697704,273701,697708
1581580,337,174201,461138,8,15,174196,461102,174196,461147,174221,461147,174221,461147
1581591,338,280217,692409,2,4,280210,692404,280218,692411,280218,692411,280223,692411
